System,School,FRL
Appling County,Altamaha Elementary School,66.2
Appling County,Appling County High School,64.09
Appling County,Appling County Primary School,81.47
Appling County,Fourth District Elementary School,77.19
Appling County,Appling County Elementary School,80.22
Appling County,Appling County Middle School,71.41
Atkinson County,Atkinson County High School,84.93
Atkinson County,Atkinson County Middle School,84.92
Atkinson County,Pearson Elementary School,
Atkinson County,Willacoochee Elementary School,
Atlanta Public Schools,Atlanta Classical Academy,
Atlanta Public Schools,Continental Colony Elementary School,
Atlanta Public Schools,School of Health Sciences and Research at Carver,
Atlanta Public Schools,Hutchinson Elementary School,
Atlanta Public Schools,Booker T. Washington High School,
Atlanta Public Schools,M. A. Jones Elementary School,
Atlanta Public Schools,Dunbar Elementary School,
Atlanta Public Schools,South Atlanta Law and Social Justice School,
Atlanta Public Schools,Barack and Michelle Obama Academy,
Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,
Atlanta Public Schools,Bunche Middle School,
Atlanta Public Schools,Bethune Elementary School,
Atlanta Public Schools,South Atlanta School of Health and Medical Science,
Atlanta Public Schools,Young Middle School,
Atlanta Public Schools,Kipp WAYS Primary School,
Atlanta Public Schools,KIPP Vision Primary,
Atlanta Public Schools,Whitefoord Elementary School,
Atlanta Public Schools,Charles R. Drew Charter School,50.32
Atlanta Public Schools,Grady High School,36.73
Atlanta Public Schools,Kimberly Elementary School,
Atlanta Public Schools,Crim High School,
Atlanta Public Schools,Slater Elementary School,
Atlanta Public Schools,Garden Hills Elementary School,65.88
Atlanta Public Schools,Scott Elementary School,
Atlanta Public Schools,Connally Elementary School,
Atlanta Public Schools,Douglass High School,
Atlanta Public Schools,Morningside Elementary School,9.68
Atlanta Public Schools,Kipp Strive Academy,73.51
Atlanta Public Schools,APS-Forrest Hills Academy,
Atlanta Public Schools,Centennial Academy,79.73
Atlanta Public Schools,Jackson Elementary School,5.55
Atlanta Public Schools,Fickett Elementary School,
Atlanta Public Schools,Toomer Elementary School,
Atlanta Public Schools,Perkerson Elementary School,
Atlanta Public Schools,KIPP West Atlanta Young Scholars Academy,
Atlanta Public Schools,Venetian Hills Elementary School,
Atlanta Public Schools,Woodson Primary School,
Atlanta Public Schools,Wesley International Academy Charter Facility,50.45
Atlanta Public Schools,Sylvan Hills Middle School,
Atlanta Public Schools,Inman Middle School,32.58
Atlanta Public Schools,Parkside Elementary School,
Atlanta Public Schools,Boyd Elementary School,
Atlanta Public Schools,KIPP VISION,
Atlanta Public Schools,Westside Atlanta Charter School,41.46
Atlanta Public Schools,Maynard H. Jackson  Jr. High School,
Atlanta Public Schools,Therrell High School,
Atlanta Public Schools,Cleveland Elementary School,
Atlanta Public Schools,Fain Elementary School,
Atlanta Public Schools,West Manor Elementary School,
Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,30.38
Atlanta Public Schools,Finch Elementary,
Atlanta Public Schools,Charles Drew Charter School JA/SA,79.74
Atlanta Public Schools,Springdale Park Elementary School,9.98
